Round,Metric,Value
0,F1,0.2025
1,F1,0.5767
2,F1,0.8634
3,F1,0.8841
4,F1,0.7933
5,F1,0.8899
6,F1,0.8879
7,F1,0.9115
8,F1,0.9083
9,F1,0.8945
10,F1,0.8724
11,F1,0.9151
12,F1,0.906
13,F1,0.876
14,F1,0.9231
15,F1,0.913
16,F1,0.9048
17,F1,0.9238
18,F1,0.8699
19,F1,0.9333
20,F1,0.9406
21,F1,0.9211
22,F1,0.9252
23,F1,0.9238
24,F1,0.9298
25,F1,0.9068
26,F1,0.9068
27,F1,0.8983
28,F1,0.9145
29,F1,0.9369
30,F1,0.9258
31,F1,0.9145
32,F1,0.9298
33,F1,0.9223
34,F1,0.9507
35,F1,0.9217
36,F1,0.9258
37,F1,0.9258
38,F1,0.9417
39,F1,0.9106
40,F1,0.9177
41,F1,0.9581
42,F1,0.9589
43,F1,0.9145
44,F1,0.9224
45,F1,0.9488
46,F1,0.9145
47,F1,0.9145
48,F1,0.9021
49,F1,0.9507
50,F1,0.9217
51,F1,0.906
52,F1,0.9589
53,F1,0.9427
54,F1,0.9434
55,F1,0.9422
56,F1,0.9384
57,F1,0.9422
58,F1,0.9464
59,F1,0.9099
60,F1,0.9304
61,F1,0.9258
62,F1,0.8954
63,F1,0.9444
64,F1,0.9589
65,F1,0.8629
66,F1,0.9422
67,F1,0.9464
68,F1,0.9585
69,F1,0.9264
70,F1,0.9439
71,F1,0.9593
72,F1,0.9541
73,F1,0.9507
74,F1,0.9593
75,F1,0.9422
76,F1,0.9633
77,F1,0.9507
78,F1,0.9258
79,F1,0.9545
80,F1,0.9333
81,F1,0.9493
82,F1,0.9264
83,F1,0.9224
84,F1,0.9381
85,F1,0.9106
86,F1,0.9258
87,F1,0.9429
88,F1,0.9429
89,F1,0.9298
90,F1,0.9422
91,F1,0.9464
92,F1,0.9381
93,F1,0.9537
94,F1,0.9381
95,F1,0.955
96,F1,0.9422
97,F1,0.9381
98,F1,0.9464
99,F1,0.9545
100,F1,0.9339
0,Precision,0.32
1,Precision,0.8545
2,Precision,0.8235
3,Precision,0.824
4,Precision,1.0
5,Precision,0.8818
6,Precision,0.8609
7,Precision,0.8729
8,Precision,0.8595
9,Precision,0.8217
10,Precision,0.7852
11,Precision,0.9327
12,Precision,0.8413
13,Precision,0.791
14,Precision,0.9027
15,Precision,0.8607
16,Precision,0.9314
17,Precision,0.8957
18,Precision,0.7754
19,Precision,0.8974
20,Precision,0.9279
21,Precision,0.875
22,Precision,0.934
23,Precision,0.8957
24,Precision,0.8833
25,Precision,0.8359
26,Precision,0.8359
27,Precision,0.8281
28,Precision,0.8492
29,Precision,0.9123
30,Precision,0.876
31,Precision,0.8492
32,Precision,0.8833
33,Precision,0.9694
34,Precision,0.9217
35,Precision,0.8689
36,Precision,0.876
37,Precision,0.876
38,Precision,0.913
39,Precision,0.8425
40,Precision,0.8618
41,Precision,0.9626
42,Precision,0.9459
43,Precision,0.8492
44,Precision,0.8629
45,Precision,0.9533
46,Precision,0.8492
47,Precision,0.8492
48,Precision,0.8346
49,Precision,0.9217
50,Precision,0.8689
51,Precision,0.8413
52,Precision,0.9459
53,Precision,0.8992
54,Precision,0.9615
55,Precision,0.906
56,Precision,0.9612
57,Precision,0.906
58,Precision,0.9138
59,Precision,0.848
60,Precision,0.877
61,Precision,0.876
62,Precision,0.8168
63,Precision,0.9444
64,Precision,0.9459
65,Precision,0.7643
66,Precision,0.906
67,Precision,0.9138
68,Precision,0.9541
69,Precision,0.8699
70,Precision,0.9528
71,Precision,0.9381
72,Precision,0.9455
73,Precision,0.9217
74,Precision,0.9381
75,Precision,0.906
76,Precision,0.9545
77,Precision,0.9217
78,Precision,0.876
79,Precision,0.9375
80,Precision,0.9608
81,Precision,0.945
82,Precision,0.8699
83,Precision,0.8629
84,Precision,0.8983
85,Precision,0.8425
86,Precision,0.876
87,Precision,0.9706
88,Precision,0.9706
89,Precision,0.8833
90,Precision,0.906
91,Precision,0.9138
92,Precision,0.8983
93,Precision,0.9537
94,Precision,0.8983
95,Precision,0.9298
96,Precision,0.906
97,Precision,0.8983
98,Precision,0.9138
99,Precision,0.9375
