Round,Metric,Value
1,Precision,0.95
2,Precision,0.866
3,Precision,0.862
4,Precision,0.986
5,Precision,0.943
6,Precision,0.937
7,Precision,0.945
8,Precision,0.943
9,Precision,0.899
10,Precision,0.872
11,Precision,0.968
12,Precision,0.921
13,Precision,0.886
14,Precision,0.963
15,Precision,0.937
16,Precision,0.967
17,Precision,0.961
18,Precision,0.884
19,Precision,0.959
20,Precision,0.973
21,Precision,0.949
22,Precision,0.965
23,Precision,0.964
24,Precision,0.952
25,Precision,0.943
26,Precision,0.94
27,Precision,0.931
28,Precision,0.947
29,Precision,0.969
30,Precision,0.954
31,Precision,0.945
32,Precision,0.952
33,Precision,0.994
34,Precision,0.964
35,Precision,0.952
36,Precision,0.956
37,Precision,0.952
38,Precision,0.966
39,Precision,0.952
40,Precision,0.957
41,Precision,0.966
42,Precision,0.978
43,Precision,0.955
44,Precision,0.952
45,Precision,0.987
46,Precision,0.929
47,Precision,0.926
48,Precision,0.931
49,Precision,0.964
50,Precision,0.947
51,Precision,0.945
52,Precision,0.981
53,Precision,0.964
54,Precision,0.983
55,Precision,0.967
56,Precision,0.986
57,Precision,0.948
58,Precision,0.964
59,Precision,0.948
60,Precision,0.945
61,Precision,0.955
62,Precision,0.92
63,Precision,0.984
64,Precision,0.971
65,Precision,0.905
66,Precision,0.957
67,Precision,0.957
68,Precision,0.979
69,Precision,0.95
70,Precision,0.989
71,Precision,0.979
72,Precision,0.981
73,Precision,0.957
74,Precision,0.979
75,Precision,0.95
76,Precision,0.986
77,Precision,0.964
78,Precision,0.962
79,Precision,0.956
80,Precision,0.986
81,Precision,0.979
82,Precision,0.952
83,Precision,0.943
84,Precision,0.955
85,Precision,0.924
86,Precision,0.938
87,Precision,0.989
88,Precision,0.984
89,Precision,0.946
90,Precision,0.95
91,Precision,0.962
92,Precision,0.959
93,Precision,0.966
94,Precision,0.964
95,Precision,0.959
96,Precision,0.964
97,Precision,0.945
98,Precision,0.964
99,Precision,0.979
100,Precision,0.962
1,F1,0.572
2,F1,0.883
3,F1,0.904
4,F1,0.836
5,F1,0.933
6,F1,0.941
7,F1,0.946
8,F1,0.952
9,F1,0.937
10,F1,0.924
11,F1,0.955
12,F1,0.949
13,F1,0.932
14,F1,0.963
15,F1,0.959
16,F1,0.956
17,F1,0.969
18,F1,0.936
19,F1,0.969
20,F1,0.961
21,F1,0.964
22,F1,0.959
23,F1,0.971
24,F1,0.968
25,F1,0.967
26,F1,0.964
27,F1,0.96
28,F1,0.965
29,F1,0.967
30,F1,0.97
31,F1,0.967
32,F1,0.969
33,F1,0.95
34,F1,0.971
35,F1,0.97
36,F1,0.969
37,F1,0.969
38,F1,0.97
39,F1,0.97
40,F1,0.97
41,F1,0.96
42,F1,0.969
43,F1,0.97
44,F1,0.972
45,F1,0.97
46,F1,0.958
47,F1,0.957
48,F1,0.961
49,F1,0.97
50,F1,0.968
51,F1,0.967
52,F1,0.973
53,F1,0.974
54,F1,0.964
55,F1,0.975
56,F1,0.969
57,F1,0.967
58,F1,0.975
59,F1,0.969
60,F1,0.967
61,F1,0.97
62,F1,0.955
63,F1,0.976
64,F1,0.97
65,F1,0.947
66,F1,0.968
67,F1,0.968
68,F1,0.971
69,F1,0.97
70,F1,0.969
71,F1,0.971
72,F1,0.969
73,F1,0.969
74,F1,0.975
75,F1,0.967
76,F1,0.968
77,F1,0.973
78,F1,0.975
79,F1,0.965
80,F1,0.966
81,F1,0.973
82,F1,0.972
83,F1,0.967
84,F1,0.972
85,F1,0.957
86,F1,0.962
87,F1,0.972
88,F1,0.971
89,F1,0.967
90,F1,0.971
91,F1,0.97
92,F1,0.974
93,F1,0.963
94,F1,0.974
95,F1,0.968
96,F1,0.973
97,F1,0.968
98,F1,0.973
99,F1,0.973
100,F1,0.977
1,Recall,0.409
2,Recall,0.902
3,Recall,0.952
4,Recall,0.726
5,Recall,0.923
6,Recall,0.945
7,Recall,0.947
8,Recall,0.96
9,Recall,0.979
10,Recall,0.984
11,Recall,0.942
12,Recall,0.979
13,Recall,0.984
14,Recall,0.963
15,Recall,0.981
16,Recall,0.945
17,Recall,0.976
18,Recall,0.995
19,Recall,0.979
20,Recall,0.95
21,Recall,0.979
22,Recall,0.953
23,Recall,0.979
24,Recall,0.984
25,Recall,0.992
26,Recall,0.99
27,Recall,0.992
28,Recall,0.984
29,Recall,0.966
30,Recall,0.987
31,Recall,0.989
32,Recall,0.987
33,Recall,0.91
34,Recall,0.979
35,Recall,0.989
36,Recall,0.981
37,Recall,0.987
38,Recall,0.974
39,Recall,0.989
40,Recall,0.984
41,Recall,0.955
42,Recall,0.96
43,Recall,0.987
44,Recall,0.992
45,Recall,0.955
46,Recall,0.989
47,Recall,0.989
48,Recall,0.992
49,Recall,0.976
50,Recall,0.989
51,Recall,0.989
52,Recall,0.966
53,Recall,0.984
54,Recall,0.945
55,Recall,0.984
56,Recall,0.952
57,Recall,0.987
58,Recall,0.987
59,Recall,0.992
60,Recall,0.989
61,Recall,0.987
62,Recall,0.992
63,Recall,0.968
64,Recall,0.968
65,Recall,0.995
66,Recall,0.979
67,Recall,0.979
68,Recall,0.963
69,Recall,0.992
70,Recall,0.95
71,Recall,0.963
72,Recall,0.957
73,Recall,0.982
74,Recall,0.971
75,Recall,0.984
76,Recall,0.95
77,Recall,0.982
78,Recall,0.989
79,Recall,0.974
80,Recall,0.947
81,Recall,0.968
82,Recall,0.992
83,Recall,0.992
84,Recall,0.989
85,Recall,0.992
86,Recall,0.987
87,Recall,0.955
88,Recall,0.958
89,Recall,0.989
90,Recall,0.992
91,Recall,0.979
92,Recall,0.99
93,Recall,0.96
94,Recall,0.984
95,Recall,0.976
96,Recall,0.982
97,Recall,0.992
98,Recall,0.982
99,Recall,0.968
100,Recall,0.992
