Round,Metric,Value
0,F1,0.6667
1,F1,0.6954
2,F1,0.8571
3,F1,0.8643
4,F1,0.8879
5,F1,0.8778
6,F1,0.9
7,F1,0.9067
8,F1,0.8618
9,F1,0.9043
10,F1,0.917
11,F1,0.9065
12,F1,0.8583
13,F1,0.8392
14,F1,0.9302
15,F1,0.9099
16,F1,0.9339
17,F1,0.9384
18,F1,0.9177
19,F1,0.9455
20,F1,0.9238
21,F1,0.9251
22,F1,0.9292
23,F1,0.9321
24,F1,0.9209
25,F1,0.8843
26,F1,0.9106
27,F1,0.9327
28,F1,0.9275
29,F1,0.9339
30,F1,0.9138
31,F1,0.9381
32,F1,0.9339
33,F1,0.9479
34,F1,0.8526
35,F1,0.9384
36,F1,0.9298
37,F1,0.9469
38,F1,0.932
39,F1,0.9298
40,F1,0.9507
41,F1,0.9633
42,F1,0.9498
43,F1,0.9298
44,F1,0.9545
45,F1,0.9185
46,F1,0.8992
47,F1,0.9138
48,F1,0.9145
49,F1,0.9541
50,F1,0.9633
51,F1,0.9339
52,F1,0.9251
53,F1,0.9068
54,F1,0.8992
55,F1,0.9339
56,F1,0.9636
57,F1,0.9422
58,F1,0.9589
59,F1,0.9636
60,F1,0.9633
61,F1,0.968
62,F1,0.9528
63,F1,0.8954
64,F1,0.9593
65,F1,0.9298
66,F1,0.9384
67,F1,0.9422
68,F1,0.9507
69,F1,0.9528
70,F1,0.9636
71,F1,0.968
72,F1,0.9541
73,F1,0.9258
74,F1,0.9633
75,F1,0.9593
76,F1,0.9593
77,F1,0.9528
78,F1,0.9258
79,F1,0.9258
80,F1,0.9545
81,F1,0.903
82,F1,0.9593
83,F1,0.9633
84,F1,0.9258
85,F1,0.9346
86,F1,0.955
87,F1,0.9427
88,F1,0.9339
89,F1,0.9464
90,F1,0.963
91,F1,0.9224
92,F1,0.9381
93,F1,0.9636
94,F1,0.955
95,F1,0.9304
96,F1,0.9145
97,F1,0.9593
98,F1,0.9545
99,F1,0.9264
100,F1,0.9304
0,Precision,0.5
1,Precision,0.5412
2,Precision,0.8276
3,Precision,0.9451
4,Precision,0.8609
5,Precision,0.8584
6,Precision,0.8839
7,Precision,0.8718
8,Precision,0.7681
9,Precision,0.8525
10,Precision,0.8678
11,Precision,0.9151
12,Precision,0.7626
13,Precision,0.7279
14,Precision,0.9346
15,Precision,0.848
16,Precision,0.8908
17,Precision,0.9612
18,Precision,0.8618
19,Precision,0.9286
20,Precision,0.951
21,Precision,0.8824
22,Precision,0.8898
23,Precision,0.9115
24,Precision,0.9252
25,Precision,0.7985
26,Precision,0.8425
27,Precision,0.97
