Round,Metric,Value
1,Precision,0.675
2,Precision,0.89
3,Precision,0.945
4,Precision,0.917
5,Precision,0.925
6,Precision,0.936
7,Precision,0.925
8,Precision,0.851
9,Precision,0.906
10,Precision,0.917
11,Precision,0.954
12,Precision,0.871
13,Precision,0.831
14,Precision,0.962
15,Precision,0.911
16,Precision,0.938
17,Precision,0.975
18,Precision,0.929
19,Precision,0.948
20,Precision,0.977
21,Precision,0.939
22,Precision,0.943
23,Precision,0.953
24,Precision,0.975
25,Precision,0.891
26,Precision,0.908
27,Precision,0.975
28,Precision,0.977
29,Precision,0.944
30,Precision,0.926
31,Precision,0.946
32,Precision,0.937
33,Precision,0.972
34,Precision,0.871
35,Precision,0.975
36,Precision,0.937
37,Precision,0.944
38,Precision,0.983
39,Precision,0.937
40,Precision,0.954
41,Precision,0.955
42,Precision,0.956
43,Precision,0.914
44,Precision,0.953
45,Precision,0.935
46,Precision,0.913
47,Precision,0.933
48,Precision,0.928
49,Precision,0.956
50,Precision,0.96
51,Precision,0.944
52,Precision,0.948
53,Precision,0.926
54,Precision,0.897
55,Precision,0.944
56,Precision,0.958
57,Precision,0.959
58,Precision,0.958
59,Precision,0.956
60,Precision,0.97
61,Precision,0.956
62,Precision,0.967
63,Precision,0.913
64,Precision,0.958
65,Precision,0.942
66,Precision,0.989
67,Precision,0.954
68,Precision,0.949
69,Precision,0.976
70,Precision,0.968
71,Precision,0.971
72,Precision,0.968
73,Precision,0.951
74,Precision,0.978
75,Precision,0.964
76,Precision,0.959
77,Precision,0.978
78,Precision,0.949
79,Precision,0.94
80,Precision,0.954
81,Precision,0.902
82,Precision,0.958
83,Precision,0.976
84,Precision,0.949
85,Precision,0.976
86,Precision,0.951
87,Precision,0.949
88,Precision,0.946
89,Precision,0.949
90,Precision,0.973
91,Precision,0.942
92,Precision,0.942
93,Precision,0.968
94,Precision,0.958
95,Precision,0.957
96,Precision,0.926
97,Precision,0.968
98,Precision,0.961
99,Precision,0.933
100,Precision,0.942
1,F1,0.791
2,F1,0.883
3,F1,0.872
4,F1,0.927
5,F1,0.928
