Round,Metric,Value
0,F1,0.0
1,F1,0.716
2,F1,0.867
3,F1,0.8858
4,F1,0.8756
5,F1,0.8716
6,F1,0.9035
7,F1,0.8807
8,F1,0.9004
9,F1,0.9115
10,F1,0.9018
11,F1,0.9091
12,F1,0.9217
13,F1,0.9043
14,F1,0.9021
15,F1,0.9292
16,F1,0.9315
17,F1,0.9321
18,F1,0.917
19,F1,0.8878
20,F1,0.914
21,F1,0.9244
22,F1,0.9309
23,F1,0.9364
24,F1,0.9177
25,F1,0.9488
26,F1,0.9091
27,F1,0.9013
28,F1,0.9251
29,F1,0.9099
30,F1,0.917
31,F1,0.9333
32,F1,0.9469
33,F1,0.9364
34,F1,0.8954
35,F1,0.9459
36,F1,0.9211
37,F1,0.9417
38,F1,0.9488
39,F1,0.9459
40,F1,0.9021
41,F1,0.888
42,F1,0.8833
43,F1,0.9636
44,F1,0.9589
45,F1,0.9593
46,F1,0.917
47,F1,0.9593
48,F1,0.9585
49,F1,0.9585
50,F1,0.9636
51,F1,0.9502
52,F1,0.9459
53,F1,0.9589
54,F1,0.9545
55,F1,0.8908
56,F1,0.968
57,F1,0.8974
58,F1,0.955
59,F1,0.9493
60,F1,0.9464
61,F1,0.9474
62,F1,0.9589
63,F1,0.9593
64,F1,0.955
65,F1,0.9459
66,F1,0.9381
67,F1,0.9633
68,F1,0.906
69,F1,0.9298
70,F1,0.9258
71,F1,0.9585
72,F1,0.955
73,F1,0.9593
74,F1,0.8833
75,F1,0.9537
76,F1,0.9636
77,F1,0.9422
78,F1,0.906
79,F1,0.9464
80,F1,0.9464
81,F1,0.9339
82,F1,0.9099
83,F1,0.9464
84,F1,0.8983
85,F1,0.9507
86,F1,0.9381
87,F1,0.9339
88,F1,0.9636
89,F1,0.955
90,F1,0.9258
91,F1,0.9636
92,F1,0.9422
93,F1,0.9298
94,F1,0.9537
95,F1,0.9224
96,F1,0.9381
97,F1,0.8917
98,F1,0.955
99,F1,0.9636
100,F1,0.955
0,Precision,0.0
1,Precision,0.6444
2,Precision,0.808
3,Precision,0.8739
4,Precision,0.8716
5,Precision,0.8636
6,Precision,0.8583
7,Precision,0.8727
8,Precision,0.8455
9,Precision,0.8729
10,Precision,0.8707
11,Precision,0.8537
12,Precision,0.8689
13,Precision,0.8525
14,Precision,0.8346
15,Precision,0.8898
16,Precision,0.9189
17,Precision,0.9115
18,Precision,0.8678
19,Precision,0.9886
20,Precision,0.8938
21,Precision,0.8889
22,Precision,0.9266
23,Precision,0.9196
24,Precision,0.8618
25,Precision,0.9533
26,Precision,0.8537
27,Precision,0.84
28,Precision,0.8824
29,Precision,0.848
30,Precision,0.8678
31,Precision,0.8974
32,Precision,0.9899
33,Precision,0.9196
34,Precision,0.8168
35,Precision,0.9211
36,Precision,0.875
37,Precision,0.913
38,Precision,0.9533
39,Precision,0.9211
40,Precision,0.8346
41,Precision,0.8045
42,Precision,0.803
43,Precision,0.9464
44,Precision,0.9459
45,Precision,0.9381
46,Precision,0.8678
47,Precision,0.9381
48,Precision,0.9541
49,Precision,0.9541
50,Precision,0.9464
51,Precision,0.9292
52,Precision,0.9211
53,Precision,0.9459
54,Precision,0.9375
55,Precision,0.8154
56,Precision,0.955
57,Precision,0.8333
58,Precision,0.9298
59,Precision,0.945
60,Precision,0.9138
61,Precision,0.9802
62,Precision,0.9459
63,Precision,0.9381
64,Precision,0.9298
65,Precision,0.9211
66,Precision,0.8983
67,Precision,0.9545
68,Precision,0.8413
69,Precision,0.8833
70,Precision,0.876
71,Precision,0.9541
72,Precision,0.9298
73,Precision,0.9381
74,Precision,0.803
75,Precision,0.9537
76,Precision,0.9464
77,Precision,0.906
78,Precision,0.8413
79,Precision,0.9138
80,Precision,0.9138
81,Precision,0.8908
82,Precision,0.848
83,Precision,0.9138
84,Precision,0.8281
85,Precision,0.9217
86,Precision,0.8983
87,Precision,0.8908
88,Precision,0.9464
89,Precision,0.9298
90,Precision,0.876
91,Precision,0.9464
92,Precision,0.906
93,Precision,0.8833
94,Precision,0.9537
95,Precision,0.8629
