Round,Metric,Value
1,Precision,0.783
2,Precision,0.845
3,Precision,0.916
4,Precision,0.916
5,Precision,0.92
6,Precision,0.914
7,Precision,0.928
8,Precision,0.897
9,Precision,0.923
10,Precision,0.928
11,Precision,0.91
12,Precision,0.912
13,Precision,0.917
14,Precision,0.881
15,Precision,0.945
16,Precision,0.96
17,Precision,0.947
18,Precision,0.922
19,Precision,0.982
20,Precision,0.933
21,Precision,0.94
22,Precision,0.965
23,Precision,0.958
24,Precision,0.914
25,Precision,0.973
26,Precision,0.931
27,Precision,0.923
28,Precision,0.943
29,Precision,0.914
30,Precision,0.932
31,Precision,0.951
32,Precision,0.98
33,Precision,0.957
34,Precision,0.895
35,Precision,0.958
36,Precision,0.946
37,Precision,0.953
38,Precision,0.976
39,Precision,0.953
40,Precision,0.939
41,Precision,0.912
42,Precision,0.898
43,Precision,0.976
44,Precision,0.96
45,Precision,0.961
46,Precision,0.951
47,Precision,0.963
48,Precision,0.986
49,Precision,0.981
50,Precision,0.956
51,Precision,0.956
52,Precision,0.958
53,Precision,0.976
54,Precision,0.961
55,Precision,0.933
56,Precision,0.961
57,Precision,0.937
58,Precision,0.956
59,Precision,0.968
60,Precision,0.956
61,Precision,0.989
62,Precision,0.971
63,Precision,0.969
64,Precision,0.961
65,Precision,0.963
66,Precision,0.947
67,Precision,0.971
68,Precision,0.94
69,Precision,0.946
70,Precision,0.944
71,Precision,0.978
72,Precision,0.961
73,Precision,0.958
74,Precision,0.909
75,Precision,0.978
76,Precision,0.974
77,Precision,0.961
78,Precision,0.933
79,Precision,0.954
80,Precision,0.961
81,Precision,0.94
82,Precision,0.928
83,Precision,0.954
84,Precision,0.926
85,Precision,0.949
86,Precision,0.945
87,Precision,0.952
88,Precision,0.981
89,Precision,0.958
90,Precision,0.94
91,Precision,0.966
92,Precision,0.949
93,Precision,0.949
94,Precision,0.983
95,Precision,0.935
96,Precision,0.951
97,Precision,0.896
98,Precision,0.958
99,Precision,0.966
100,Precision,0.963
1,F1,0.785
2,F1,0.86
3,F1,0.879
4,F1,0.898
5,F1,0.908
6,F1,0.923
7,F1,0.914
8,F1,0.926
9,F1,0.932
10,F1,0.932
11,F1,0.933
12,F1,0.933
13,F1,0.937
14,F1,0.924
15,F1,0.946
16,F1,0.942
17,F1,0.944
18,F1,0.942
19,F1,0.918
20,F1,0.941
21,F1,0.944
22,F1,0.949
23,F1,0.955
24,F1,0.94
25,F1,0.953
26,F1,0.945
27,F1,0.945
28,F1,0.952
29,F1,0.943
30,F1,0.95
31,F1,0.954
32,F1,0.947
33,F1,0.954
34,F1,0.937
35,F1,0.958
36,F1,0.956
37,F1,0.958
38,F1,0.96
39,F1,0.958
40,F1,0.956
41,F1,0.944
42,F1,0.938
43,F1,0.96
44,F1,0.953
45,F1,0.96
46,F1,0.959
47,F1,0.963
48,F1,0.955
49,F1,0.957
50,F1,0.959
51,F1,0.961
52,F1,0.965
53,F1,0.961
54,F1,0.96
55,F1,0.955
56,F1,0.956
57,F1,0.956
58,F1,0.961
59,F1,0.961
60,F1,0.959
61,F1,0.953
62,F1,0.964
63,F1,0.967
64,F1,0.963
65,F1,0.964
66,F1,0.961
67,F1,0.959
68,F1,0.96
69,F1,0.96
70,F1,0.96
71,F1,0.955
72,F1,0.963
73,F1,0.965
74,F1,0.946
75,F1,0.961
76,F1,0.97
77,F1,0.969
78,F1,0.958
79,F1,0.965
80,F1,0.964
81,F1,0.96
82,F1,0.955
83,F1,0.965
84,F1,0.955
85,F1,0.962
86,F1,0.963
87,F1,0.968
88,F1,0.967
89,F1,0.959
90,F1,0.959
91,F1,0.967
92,F1,0.964
93,F1,0.966
94,F1,0.964
95,F1,0.959
96,F1,0.965
97,F1,0.941
98,F1,0.963
99,F1,0.964
100,F1,0.966
1,Recall,0.788
2,Recall,0.876
3,Recall,0.847
4,Recall,0.881
5,Recall,0.897
6,Recall,0.934
7,Recall,0.902
8,Recall,0.958
9,Recall,0.942
10,Recall,0.936
11,Recall,0.958
12,Recall,0.955
13,Recall,0.958
14,Recall,0.971
15,Recall,0.947
16,Recall,0.926
17,Recall,0.942
18,Recall,0.963
19,Recall,0.862
20,Recall,0.95
21,Recall,0.947
22,Recall,0.934
23,Recall,0.952
24,Recall,0.968
25,Recall,0.934
26,Recall,0.96
27,Recall,0.968
28,Recall,0.96
29,Recall,0.974
30,Recall,0.968
31,Recall,0.958
32,Recall,0.915
33,Recall,0.95
34,Recall,0.984
35,Recall,0.958
36,Recall,0.966
37,Recall,0.963
38,Recall,0.944
39,Recall,0.963
40,Recall,0.974
41,Recall,0.979
42,Recall,0.984
43,Recall,0.944
44,Recall,0.947
45,Recall,0.96
46,Recall,0.968
47,Recall,0.963
48,Recall,0.926
49,Recall,0.934
50,Recall,0.963
51,Recall,0.966
52,Recall,0.971
53,Recall,0.947
54,Recall,0.96
55,Recall,0.979
56,Recall,0.952
57,Recall,0.976
58,Recall,0.966
59,Recall,0.955
60,Recall,0.963
61,Recall,0.921
62,Recall,0.958
63,Recall,0.966
64,Recall,0.966
65,Recall,0.966
66,Recall,0.976
67,Recall,0.947
68,Recall,0.982
69,Recall,0.974
70,Recall,0.976
71,Recall,0.934
72,Recall,0.966
73,Recall,0.971
74,Recall,0.987
75,Recall,0.944
76,Recall,0.966
77,Recall,0.976
78,Recall,0.984
79,Recall,0.976
80,Recall,0.968
81,Recall,0.981
82,Recall,0.984
83,Recall,0.976
84,Recall,0.987
85,Recall,0.976
86,Recall,0.981
87,Recall,0.984
88,Recall,0.952
89,Recall,0.96
90,Recall,0.979
91,Recall,0.968
92,Recall,0.979
93,Recall,0.984
94,Recall,0.944
95,Recall,0.984
96,Recall,0.979
97,Recall,0.992
98,Recall,0.968
99,Recall,0.963
100,Recall,0.968
