Round,Metric,Value
0,F1,0.0
1,F1,0.8482
2,F1,0.6667
3,F1,0.8991
4,F1,0.9067
5,F1,0.9231
6,F1,0.9224
7,F1,0.9106
8,F1,0.9273
9,F1,0.9252
10,F1,0.9244
11,F1,0.9464
12,F1,0.9417
13,F1,0.9469
14,F1,0.9406
15,F1,0.9423
16,F1,0.9386
17,F1,0.9423
18,F1,0.9464
19,F1,0.9479
20,F1,0.9372
21,F1,0.9314
22,F1,0.9378
23,F1,0.9216
24,F1,0.9429
25,F1,0.9469
26,F1,0.9386
27,F1,0.963
28,F1,0.9623
29,F1,0.9372
30,F1,0.9537
31,F1,0.9533
32,F1,0.9427
33,F1,0.9626
34,F1,0.9577
35,F1,0.9541
36,F1,0.9528
37,F1,0.9569
38,F1,0.9264
39,F1,0.9488
40,F1,0.9541
41,F1,0.9429
42,F1,0.9674
43,F1,0.9636
44,F1,0.9524
45,F1,0.9533
46,F1,0.9224
47,F1,0.9479
48,F1,0.9633
49,F1,0.9401
50,F1,0.9533
51,F1,0.9626
52,F1,0.9502
53,F1,0.9545
54,F1,0.9722
55,F1,0.9633
56,F1,0.9554
57,F1,0.9541
58,F1,0.9528
59,F1,0.9434
60,F1,0.9593
61,F1,0.9541
62,F1,0.9507
63,F1,0.9502
64,F1,0.9541
65,F1,0.9623
66,F1,0.9581
67,F1,0.968
68,F1,0.9533
69,F1,0.9417
70,F1,0.9585
71,F1,0.9507
72,F1,0.9185
73,F1,0.9511
74,F1,0.9677
75,F1,0.9537
76,F1,0.9484
77,F1,0.9623
78,F1,0.9573
79,F1,0.9541
80,F1,0.9623
81,F1,0.9412
82,F1,0.9537
83,F1,0.9619
84,F1,0.9444
85,F1,0.9581
86,F1,0.9585
87,F1,0.9714
88,F1,0.9674
89,F1,0.9596
90,F1,0.9626
91,F1,0.9581
92,F1,0.9585
93,F1,0.9507
94,F1,0.9577
95,F1,0.9585
96,F1,0.9589
97,F1,0.9569
98,F1,0.9484
99,F1,0.9593
100,F1,0.9541
0,Precision,0.0
1,Precision,0.819
2,Precision,1.0
3,Precision,0.8909
4,Precision,0.8718
5,Precision,0.9027
6,Precision,0.9099
7,Precision,0.8425
8,Precision,0.9107
9,Precision,0.934
10,Precision,0.8889
11,Precision,0.9138
12,Precision,0.913
13,Precision,0.9068
14,Precision,0.9279
15,Precision,0.98
16,Precision,0.8917
17,Precision,0.98
18,Precision,0.9138
19,Precision,0.9709
20,Precision,0.9798
21,Precision,0.9896
22,Precision,0.9703
23,Precision,0.9792
24,Precision,0.9706
25,Precision,0.9899
26,Precision,0.8917
27,Precision,0.963
28,Precision,0.9808
29,Precision,0.9798
30,Precision,0.9537
31,Precision,0.9623
32,Precision,0.8992
33,Precision,0.9717
34,Precision,0.9714
35,Precision,0.9455
36,Precision,0.9712
37,Precision,0.9901
38,Precision,0.8699
39,Precision,0.9533
40,Precision,0.9455
41,Precision,0.9706
42,Precision,0.972
43,Precision,0.9464
44,Precision,0.9804
45,Precision,0.9623
46,Precision,0.8629
47,Precision,0.9709
48,Precision,0.9545
49,Precision,0.9358
50,Precision,0.9623
51,Precision,0.9717
52,Precision,0.9292
53,Precision,0.9375
54,Precision,0.9722
55,Precision,0.9545
56,Precision,0.9224
57,Precision,0.9455
58,Precision,0.9712
59,Precision,0.9615
60,Precision,0.9381
61,Precision,0.9455
62,Precision,0.9217
63,Precision,0.9292
64,Precision,0.9455
65,Precision,0.9808
66,Precision,0.9626
67,Precision,0.955
68,Precision,0.9623
69,Precision,0.9898
70,Precision,0.9541
71,Precision,0.9217
72,Precision,0.856
73,Precision,0.9145
74,Precision,0.9633
75,Precision,0.9537
76,Precision,0.9619
77,Precision,0.9808
78,Precision,0.9806
79,Precision,0.9455
80,Precision,0.9808
81,Precision,1.0
82,Precision,0.9537
83,Precision,0.9902
84,Precision,0.9444
85,Precision,0.9626
86,Precision,0.9541
87,Precision,1.0
88,Precision,0.972
89,Precision,0.9304
90,Precision,0.9717
91,Precision,0.9626
92,Precision,0.9541
93,Precision,0.9217
94,Precision,0.9714
95,Precision,0.9541
96,Precision,0.9459
97,Precision,0.9901
98,Precision,0.9619
99,Precision,0.9381
100,Precision,0.9455
0,Recall,0.0
1,Recall,0.8796
2,Recall,0.5
3,Recall,0.9074
4,Recall,0.9444
5,Recall,0.9444
6,Recall,0.9352
7,Recall,0.9907
8,Recall,0.9444
9,Recall,0.9167
10,Recall,0.963
11,Recall,0.9815
12,Recall,0.9722
13,Recall,0.9907
14,Recall,0.9537
15,Recall,0.9074
16,Recall,0.9907
17,Recall,0.9074
18,Recall,0.9815
19,Recall,0.9259
20,Recall,0.8981
21,Recall,0.8796
22,Recall,0.9074
23,Recall,0.8704
24,Recall,0.9167
25,Recall,0.9074
26,Recall,0.9907
27,Recall,0.963
28,Recall,0.9444
29,Recall,0.8981
30,Recall,0.9537
31,Recall,0.9444
32,Recall,0.9907
33,Recall,0.9537
34,Recall,0.9444
35,Recall,0.963
36,Recall,0.9352
37,Recall,0.9259
38,Recall,0.9907
39,Recall,0.9444
40,Recall,0.963
41,Recall,0.9167
42,Recall,0.963
43,Recall,0.9815
44,Recall,0.9259
45,Recall,0.9444
46,Recall,0.9907
47,Recall,0.9259
48,Recall,0.9722
49,Recall,0.9444
50,Recall,0.9444
51,Recall,0.9537
52,Recall,0.9722
53,Recall,0.9722
54,Recall,0.9722
55,Recall,0.9722
56,Recall,0.9907
57,Recall,0.963
58,Recall,0.9352
59,Recall,0.9259
60,Recall,0.9815
61,Recall,0.963
62,Recall,0.9815
63,Recall,0.9722
64,Recall,0.963
65,Recall,0.9444
66,Recall,0.9537
67,Recall,0.9815
68,Recall,0.9444
69,Recall,0.8981
70,Recall,0.963
71,Recall,0.9815
72,Recall,0.9907
73,Recall,0.9907
74,Recall,0.9722
75,Recall,0.9537
76,Recall,0.9352
77,Recall,0.9444
78,Recall,0.9352
79,Recall,0.963
80,Recall,0.9444
81,Recall,0.8889
82,Recall,0.9537
83,Recall,0.9352
84,Recall,0.9444
85,Recall,0.9537
86,Recall,0.963
87,Recall,0.9444
88,Recall,0.963
89,Recall,0.9907
90,Recall,0.9537
91,Recall,0.9537
92,Recall,0.963
93,Recall,0.9815
94,Recall,0.9444
95,Recall,0.963
96,Recall,0.9722
97,Recall,0.9259
98,Recall,0.9352
99,Recall,0.9815
100,Recall,0.963
