Round,Metric,Value
1,Precision,0.953
2,Precision,1.0
3,Precision,0.967
4,Precision,0.955
5,Precision,0.971
6,Precision,0.978
7,Precision,0.912
8,Precision,0.979
9,Precision,0.984
10,Precision,0.964
11,Precision,0.971
12,Precision,0.969
13,Precision,0.961
14,Precision,0.976
15,Precision,0.986
16,Precision,0.961
17,Precision,0.989
18,Precision,0.961
19,Precision,0.994
20,Precision,0.994
21,Precision,1.0
22,Precision,0.992
23,Precision,0.997
24,Precision,0.992
25,Precision,0.994
26,Precision,0.964
27,Precision,0.981
28,Precision,0.981
29,Precision,1.0
30,Precision,0.987
31,Precision,0.989
32,Precision,0.955
33,Precision,0.984
34,Precision,0.987
35,Precision,0.972
36,Precision,0.994
37,Precision,0.997
38,Precision,0.947
39,Precision,0.969
40,Precision,0.971
41,Precision,0.997
42,Precision,0.992
43,Precision,0.971
44,Precision,0.989
45,Precision,0.982
46,Precision,0.957
47,Precision,0.989
48,Precision,0.974
49,Precision,0.979
50,Precision,0.992
51,Precision,0.989
52,Precision,0.969
53,Precision,0.966
54,Precision,0.976
55,Precision,0.964
56,Precision,0.964
57,Precision,0.974
58,Precision,0.994
59,Precision,0.995
60,Precision,0.969
61,Precision,0.971
62,Precision,0.966
63,Precision,0.976
64,Precision,0.982
65,Precision,0.992
66,Precision,0.989
67,Precision,0.977
68,Precision,0.995
69,Precision,0.997
70,Precision,0.979
71,Precision,0.969
72,Precision,0.945
73,Precision,0.962
74,Precision,0.974
75,Precision,0.987
76,Precision,0.995
77,Precision,0.997
78,Precision,0.997
79,Precision,0.974
80,Precision,0.995
81,Precision,1.0
82,Precision,0.969
83,Precision,0.992
84,Precision,0.984
85,Precision,0.995
86,Precision,0.979
87,Precision,0.997
88,Precision,0.989
89,Precision,0.977
90,Precision,0.984
91,Precision,0.979
92,Precision,0.982
93,Precision,0.972
94,Precision,0.989
95,Precision,0.982
96,Precision,0.979
97,Precision,0.997
98,Precision,0.995
99,Precision,0.977
100,Precision,0.976
1,F1,0.478
2,F1,0.447
3,F1,0.948
4,F1,0.95
5,F1,0.964
6,F1,0.967
7,F1,0.948
8,F1,0.97
9,F1,0.964
10,F1,0.97
11,F1,0.97
12,F1,0.971
13,F1,0.967
14,F1,0.976
15,F1,0.961
16,F1,0.973
17,F1,0.959
18,F1,0.973
19,F1,0.969
20,F1,0.965
21,F1,0.944
22,F1,0.966
23,F1,0.965
24,F1,0.976
25,F1,0.966
26,F1,0.975
27,F1,0.975
28,F1,0.971
29,F1,0.969
30,F1,0.979
31,F1,0.973
32,F1,0.972
33,F1,0.971
34,F1,0.973
35,F1,0.978
36,F1,0.976
37,F1,0.973
38,F1,0.97
39,F1,0.978
40,F1,0.975
41,F1,0.973
42,F1,0.979
43,F1,0.979
44,F1,0.977
45,F1,0.982
46,F1,0.974
47,F1,0.973
48,F1,0.978
49,F1,0.979
50,F1,0.981
51,F1,0.98
52,F1,0.978
53,F1,0.977
54,F1,0.976
55,F1,0.974
56,F1,0.978
57,F1,0.978
58,F1,0.977
59,F1,0.977
60,F1,0.976
61,F1,0.979
62,F1,0.975
63,F1,0.98
64,F1,0.982
65,F1,0.979
66,F1,0.981
67,F1,0.98
68,F1,0.981
69,F1,0.977
70,F1,0.975
71,F1,0.978
72,F1,0.969
73,F1,0.974
74,F1,0.979
75,F1,0.982
76,F1,0.98
77,F1,0.98
78,F1,0.977
79,F1,0.979
80,F1,0.977
81,F1,0.966
82,F1,0.977
83,F1,0.98
84,F1,0.982
85,F1,0.983
86,F1,0.98
87,F1,0.981
88,F1,0.981
89,F1,0.984
90,F1,0.978
91,F1,0.976
92,F1,0.979
93,F1,0.981
94,F1,0.979
95,F1,0.982
96,F1,0.984
97,F1,0.974
98,F1,0.977
99,F1,0.979
100,F1,0.979
1,Recall,0.319
2,Recall,0.29
3,Recall,0.929
4,Recall,0.945
5,Recall,0.958
6,Recall,0.955
7,Recall,0.987
8,Recall,0.96
9,Recall,0.945
10,Recall,0.976
11,Recall,0.969
12,Recall,0.974
13,Recall,0.974
14,Recall,0.976
15,Recall,0.937
16,Recall,0.984
17,Recall,0.932
18,Recall,0.984
19,Recall,0.945
20,Recall,0.937
21,Recall,0.895
22,Recall,0.942
23,Recall,0.934
24,Recall,0.961
25,Recall,0.939
26,Recall,0.987
27,Recall,0.968
28,Recall,0.961
29,Recall,0.94
30,Recall,0.971
31,Recall,0.958
32,Recall,0.989
33,Recall,0.958
34,Recall,0.961
35,Recall,0.984
36,Recall,0.958
37,Recall,0.95
38,Recall,0.995
39,Recall,0.987
40,Recall,0.979
41,Recall,0.95
42,Recall,0.966
43,Recall,0.987
44,Recall,0.966
45,Recall,0.982
46,Recall,0.992
47,Recall,0.958
48,Recall,0.982
49,Recall,0.979
50,Recall,0.971
51,Recall,0.971
52,Recall,0.987
53,Recall,0.987
54,Recall,0.976
55,Recall,0.984
56,Recall,0.992
57,Recall,0.982
58,Recall,0.961
59,Recall,0.961
60,Recall,0.984
61,Recall,0.987
62,Recall,0.984
63,Recall,0.984
64,Recall,0.982
65,Recall,0.966
66,Recall,0.974
67,Recall,0.984
68,Recall,0.968
69,Recall,0.958
70,Recall,0.971
71,Recall,0.987
72,Recall,0.995
73,Recall,0.987
74,Recall,0.984
75,Recall,0.976
76,Recall,0.966
77,Recall,0.963
78,Recall,0.958
79,Recall,0.984
80,Recall,0.96
81,Recall,0.934
82,Recall,0.984
83,Recall,0.968
84,Recall,0.979
85,Recall,0.971
86,Recall,0.982
87,Recall,0.966
88,Recall,0.974
89,Recall,0.992
90,Recall,0.971
91,Recall,0.974
92,Recall,0.976
93,Recall,0.99
94,Recall,0.968
95,Recall,0.982
96,Recall,0.99
97,Recall,0.953
98,Recall,0.961
99,Recall,0.982
100,Recall,0.982
