Round,Metric,Value
0,F1,0.4903
1,F1,0.4615
2,F1,0.0
3,F1,0.7684
4,F1,0.9179
5,F1,0.9238
6,F1,0.9259
7,F1,0.9194
8,F1,0.9177
9,F1,0.9279
10,F1,0.8231
11,F1,0.9358
12,F1,0.9209
13,F1,0.9244
14,F1,0.9204
15,F1,0.9474
16,F1,0.9372
17,F1,0.9208
18,F1,0.9321
19,F1,0.939
20,F1,0.9258
21,F1,0.9533
22,F1,0.9264
23,F1,0.9224
24,F1,0.9339
25,F1,0.9498
26,F1,0.9593
27,F1,0.9427
28,F1,0.9593
29,F1,0.9585
30,F1,0.9585
31,F1,0.9633
32,F1,0.9224
33,F1,0.9589
34,F1,0.9427
35,F1,0.9569
36,F1,0.9469
37,F1,0.9671
38,F1,0.9264
39,F1,0.9488
40,F1,0.9636
41,F1,0.9502
42,F1,0.964
43,F1,0.9722
44,F1,0.8538
45,F1,0.9386
46,F1,0.963
47,F1,0.9524
48,F1,0.968
49,F1,0.9469
50,F1,0.9577
51,F1,0.9439
52,F1,0.9677
53,F1,0.9474
54,F1,0.9314
55,F1,0.9493
56,F1,0.9633
57,F1,0.9596
58,F1,0.9577
59,F1,0.9581
60,F1,0.9593
61,F1,0.977
62,F1,0.9815
63,F1,0.9767
64,F1,0.9674
65,F1,0.9581
66,F1,0.9722
67,F1,0.968
68,F1,0.9674
69,F1,0.9623
70,F1,0.972
71,F1,0.968
72,F1,0.9386
73,F1,0.9677
74,F1,0.9479
75,F1,0.9671
76,F1,0.9623
77,F1,0.9623
78,F1,0.972
79,F1,0.9593
80,F1,0.9439
81,F1,0.9593
82,F1,0.9596
83,F1,0.9191
84,F1,0.9674
85,F1,0.972
86,F1,0.9633
87,F1,0.9427
88,F1,0.9589
89,F1,0.9589
90,F1,0.9537
91,F1,0.9406
92,F1,0.9767
93,F1,0.9554
94,F1,0.9623
95,F1,0.9674
96,F1,0.9464
97,F1,0.9593
98,F1,0.977
99,F1,0.9767
100,F1,0.955
0,Precision,0.4228
1,Precision,0.9429
2,Precision,0.0
3,Precision,0.9855
4,Precision,0.9596
5,Precision,0.8957
6,Precision,0.9259
