Round,Metric,Value
1,Precision,0.969
2,Precision,0.0
3,Precision,0.989
4,Precision,0.975
5,Precision,0.947
6,Precision,0.965
7,Precision,0.97
8,Precision,0.922
9,Precision,0.942
10,Precision,0.859
11,Precision,0.961
12,Precision,0.973
13,Precision,0.954
14,Precision,0.945
15,Precision,0.978
16,Precision,0.992
17,Precision,0.991
18,Precision,0.966
19,Precision,0.971
20,Precision,0.949
21,Precision,0.974
22,Precision,0.931
23,Precision,0.941
24,Precision,0.959
25,Precision,0.969
26,Precision,0.967
27,Precision,0.947
28,Precision,0.971
29,Precision,0.972
30,Precision,0.974
31,Precision,0.969
32,Precision,0.948
33,Precision,0.974
34,Precision,0.962
35,Precision,0.992
36,Precision,0.992
37,Precision,0.984
38,Precision,0.957
39,Precision,0.979
40,Precision,0.981
41,Precision,0.967
42,Precision,0.964
43,Precision,0.974
44,Precision,0.889
45,Precision,0.959
46,Precision,0.987
47,Precision,0.992
48,Precision,0.979
49,Precision,0.962
50,Precision,0.987
51,Precision,0.992
52,Precision,0.981
53,Precision,0.994
54,Precision,1.0
55,Precision,0.976
56,Precision,0.984
57,Precision,0.974
58,Precision,0.989
59,Precision,0.987
60,Precision,0.977
61,Precision,0.984
62,Precision,0.982
63,Precision,0.979
64,Precision,0.984
65,Precision,0.984
66,Precision,0.984
67,Precision,0.979
68,Precision,0.984
69,Precision,0.986
70,Precision,0.992
71,Precision,0.974
72,Precision,0.957
73,Precision,0.979
74,Precision,0.992
75,Precision,0.989
76,Precision,0.989
77,Precision,0.992
78,Precision,0.979
79,Precision,0.979
80,Precision,0.995
81,Precision,0.976
82,Precision,0.974
83,Precision,0.945
84,Precision,0.984
85,Precision,0.984
86,Precision,0.987
87,Precision,0.969
88,Precision,0.984
89,Precision,0.979
90,Precision,0.984
91,Precision,0.977
92,Precision,0.984
93,Precision,0.974
94,Precision,0.989
95,Precision,0.976
96,Precision,0.969
97,Precision,0.972
98,Precision,0.989
99,Precision,0.989
100,Precision,0.964
1,F1,0.593
2,F1,0.0
3,F1,0.836
4,F1,0.928
5,F1,0.958
6,F1,0.955
7,F1,0.953
8,F1,0.953
9,F1,0.953
10,F1,0.922
11,F1,0.96
12,F1,0.961
13,F1,0.968
14,F1,0.963
15,F1,0.947
16,F1,0.946
17,F1,0.933
18,F1,0.973
19,F1,0.97
20,F1,0.965
21,F1,0.967
22,F1,0.96
23,F1,0.965
24,F1,0.973
25,F1,0.972
26,F1,0.973
27,F1,0.969
28,F1,0.971
29,F1,0.972
30,F1,0.976
31,F1,0.977
32,F1,0.97
33,F1,0.975
34,F1,0.978
35,F1,0.952
36,F1,0.957
37,F1,0.964
38,F1,0.975
39,F1,0.969
40,F1,0.975
41,F1,0.973
42,F1,0.975
43,F1,0.975
44,F1,0.94
45,F1,0.973
46,F1,0.98
47,F1,0.967
48,F1,0.977
49,F1,0.977
50,F1,0.973
51,F1,0.969
52,F1,0.975
53,F1,0.96
54,F1,0.947
55,F1,0.971
56,F1,0.973
57,F1,0.982
58,F1,0.974
59,F1,0.973
60,F1,0.978
61,F1,0.975
62,F1,0.976
63,F1,0.975
64,F1,0.973
65,F1,0.97
66,F1,0.977
67,F1,0.979
68,F1,0.977
69,F1,0.968
70,F1,0.974
71,F1,0.975
72,F1,0.973
73,F1,0.971
74,F1,0.973
75,F1,0.969
76,F1,0.97
77,F1,0.966
78,F1,0.971
79,F1,0.979
80,F1,0.976
81,F1,0.978
82,F1,0.978
83,F1,0.968
84,F1,0.977
85,F1,0.97
86,F1,0.979
87,F1,0.978
88,F1,0.979
89,F1,0.977
90,F1,0.976
91,F1,0.973
92,F1,0.972
93,F1,0.975
94,F1,0.962
95,F1,0.965
96,F1,0.978
97,F1,0.978
98,F1,0.973
99,F1,0.972
100,F1,0.972
1,Recall,0.429
2,Recall,0.0
3,Recall,0.725
4,Recall,0.886
5,Recall,0.971
6,Recall,0.944
7,Recall,0.936
8,Recall,0.987
9,Recall,0.966
10,Recall,0.995
11,Recall,0.96
12,Recall,0.95
13,Recall,0.982
14,Recall,0.981
15,Recall,0.918
16,Recall,0.905
17,Recall,0.881
18,Recall,0.979
19,Recall,0.968
20,Recall,0.981
21,Recall,0.96
22,Recall,0.992
23,Recall,0.992
24,Recall,0.987
25,Recall,0.976
26,Recall,0.979
27,Recall,0.992
28,Recall,0.971
29,Recall,0.974
30,Recall,0.979
31,Recall,0.984
32,Recall,0.995
33,Recall,0.976
34,Recall,0.995
35,Recall,0.915
36,Recall,0.926
37,Recall,0.944
38,Recall,0.995
39,Recall,0.96
40,Recall,0.968
41,Recall,0.979
42,Recall,0.987
43,Recall,0.976
44,Recall,0.997
45,Recall,0.987
46,Recall,0.974
47,Recall,0.944
48,Recall,0.976
49,Recall,0.992
50,Recall,0.96
51,Recall,0.947
52,Recall,0.968
53,Recall,0.929
54,Recall,0.899
55,Recall,0.966
56,Recall,0.963
57,Recall,0.989
58,Recall,0.96
59,Recall,0.96
60,Recall,0.979
61,Recall,0.966
62,Recall,0.971
63,Recall,0.971
64,Recall,0.963
65,Recall,0.958
66,Recall,0.971
67,Recall,0.979
68,Recall,0.971
69,Recall,0.95
70,Recall,0.958
71,Recall,0.976
72,Recall,0.989
73,Recall,0.963
74,Recall,0.955
75,Recall,0.95
76,Recall,0.952
77,Recall,0.942
78,Recall,0.963
79,Recall,0.979
80,Recall,0.958
81,Recall,0.979
82,Recall,0.982
83,Recall,0.992
84,Recall,0.971
85,Recall,0.958
86,Recall,0.971
87,Recall,0.987
88,Recall,0.974
89,Recall,0.976
90,Recall,0.968
91,Recall,0.971
92,Recall,0.96
93,Recall,0.976
94,Recall,0.937
95,Recall,0.955
96,Recall,0.987
97,Recall,0.984
98,Recall,0.958
99,Recall,0.955
100,Recall,0.982
