Round,Metric,Value
0,F1,0.6667
1,F1,0.6076
2,F1,0.8848
3,F1,0.8841
4,F1,0.9035
5,F1,0.9107
6,F1,0.8664
7,F1,0.917
8,F1,0.9279
9,F1,0.9216
10,F1,0.9238
11,F1,0.8438
12,F1,0.9224
13,F1,0.9258
14,F1,0.878
15,F1,0.9412
16,F1,0.8276
17,F1,0.9114
18,F1,0.8182
19,F1,0.9292
20,F1,0.809
21,F1,0.9191
22,F1,0.9455
23,F1,0.9191
24,F1,0.9533
25,F1,0.9304
26,F1,0.9191
27,F1,0.9076
28,F1,0.9185
29,F1,0.9304
30,F1,0.9345
31,F1,0.9455
32,F1,0.9345
33,F1,0.9298
34,F1,0.9386
35,F1,0.9258
36,F1,0.9345
37,F1,0.9304
38,F1,0.9076
39,F1,0.927
40,F1,0.9339
41,F1,0.9076
42,F1,0.871
43,F1,0.931
44,F1,0.9351
45,F1,0.9264
46,F1,0.9191
47,F1,0.8471
48,F1,0.9153
49,F1,0.9464
50,F1,0.9464
51,F1,0.9541
52,F1,0.9511
53,F1,0.9511
54,F1,0.9076
55,F1,0.9422
56,F1,0.8926
57,F1,0.9498
58,F1,0.9386
59,F1,0.9589
60,F1,0.8963
61,F1,0.9507
62,F1,0.9391
63,F1,0.9511
64,F1,0.9636
65,F1,0.9427
66,F1,0.8852
67,F1,0.9345
68,F1,0.9427
69,F1,0.9106
70,F1,0.9464
71,F1,0.955
72,F1,0.9345
73,F1,0.9153
74,F1,0.9554
75,F1,0.9545
76,F1,0.9422
77,F1,0.9623
78,F1,0.955
79,F1,0.9464
80,F1,0.9683
81,F1,0.955
82,F1,0.9264
83,F1,0.9507
84,F1,0.9507
85,F1,0.931
86,F1,0.9596
87,F1,0.9636
88,F1,0.9432
89,F1,0.964
90,F1,0.9593
91,F1,0.9554
92,F1,0.9593
93,F1,0.968
94,F1,0.9511
95,F1,0.9725
96,F1,0.9231
97,F1,0.9589
98,F1,0.955
99,F1,0.9432
100,F1,0.968
0,Precision,0.5
1,Precision,0.96
2,Precision,0.8807
3,Precision,0.824
4,Precision,0.8583
5,Precision,0.8793
6,Precision,0.7698
7,Precision,0.8678
8,Precision,0.9035
9,Precision,0.9792
10,Precision,0.8957
11,Precision,0.7297
12,Precision,0.8629
13,Precision,0.876
14,Precision,0.7826
15,Precision,0.9204
16,Precision,0.7059
17,Precision,0.8372
18,Precision,0.6923
19,Precision,0.8898
20,Precision,0.6792
21,Precision,0.8504
22,Precision,0.9286
23,Precision,0.8504
24,Precision,0.9623
25,Precision,0.877
26,Precision,0.8504
27,Precision,0.8308
28,Precision,0.856
29,Precision,0.877
30,Precision,0.8843
31,Precision,0.9286
32,Precision,0.8843
33,Precision,0.8833
34,Precision,0.8917
35,Precision,0.876
36,Precision,0.8843
37,Precision,0.877
38,Precision,0.8308
39,Precision,0.864
40,Precision,0.8908
41,Precision,0.8308
42,Precision,0.7714
43,Precision,0.871
44,Precision,0.878
45,Precision,0.8699
46,Precision,0.8504
47,Precision,0.7347
48,Precision,0.8438
49,Precision,0.9138
50,Precision,0.9138
51,Precision,0.9455
52,Precision,0.9145
53,Precision,0.9145
54,Precision,0.8308
55,Precision,0.906
56,Precision,0.806
57,Precision,0.9369
58,Precision,0.8917
59,Precision,0.9459
60,Precision,0.812
61,Precision,0.9217
62,Precision,0.8852
63,Precision,0.9145
64,Precision,0.9464
65,Precision,0.8992
66,Precision,0.7941
67,Precision,0.8843
68,Precision,0.8992
69,Precision,0.8425
70,Precision,0.9138
71,Precision,0.9298
72,Precision,0.8843
73,Precision,0.8438
74,Precision,0.9224
75,Precision,0.9375
76,Precision,0.906
77,Precision,0.9808
78,Precision,0.9298
79,Precision,0.9138
80,Precision,0.9469
81,Precision,0.9298
82,Precision,0.8699
83,Precision,0.9217
84,Precision,0.9217
85,Precision,0.871
86,Precision,0.9304
87,Precision,0.9464
88,Precision,0.8926
89,Precision,0.9386
90,Precision,0.9381
91,Precision,0.9224
92,Precision,0.9381
93,Precision,0.955
94,Precision,0.9145
95,Precision,0.9636
96,Precision,0.8571
97,Precision,0.9459
98,Precision,0.9298
99,Precision,0.8926
100,Precision,0.955
0,Recall,1.0
1,Recall,0.4444
2,Recall,0.8889
3,Recall,0.9537
4,Recall,0.9537
5,Recall,0.9444
6,Recall,0.9907
7,Recall,0.9722
8,Recall,0.9537
9,Recall,0.8704
10,Recall,0.9537
11,Recall,1.0
12,Recall,0.9907
13,Recall,0.9815
14,Recall,1.0
15,Recall,0.963
16,Recall,1.0
17,Recall,1.0
18,Recall,1.0
19,Recall,0.9722
20,Recall,1.0
21,Recall,1.0
22,Recall,0.963
23,Recall,1.0
24,Recall,0.9444
25,Recall,0.9907
26,Recall,1.0
27,Recall,1.0
28,Recall,0.9907
29,Recall,0.9907
30,Recall,0.9907
31,Recall,0.963
32,Recall,0.9907
33,Recall,0.9815
34,Recall,0.9907
35,Recall,0.9815
36,Recall,0.9907
37,Recall,0.9907
38,Recall,1.0
39,Recall,1.0
40,Recall,0.9815
41,Recall,1.0
42,Recall,1.0
43,Recall,1.0
44,Recall,1.0
45,Recall,0.9907
46,Recall,1.0
47,Recall,1.0
48,Recall,1.0
49,Recall,0.9815
50,Recall,0.9815
51,Recall,0.963
52,Recall,0.9907
53,Recall,0.9907
54,Recall,1.0
55,Recall,0.9815
56,Recall,1.0
57,Recall,0.963
58,Recall,0.9907
59,Recall,0.9722
60,Recall,1.0
61,Recall,0.9815
62,Recall,1.0
63,Recall,0.9907
