Round,Metric,Value
1,Precision,0.742
2,Precision,0.764
3,Precision,0.805
4,Precision,0.886
5,Precision,0.905
6,Precision,0.855
7,Precision,0.899
8,Precision,0.928
9,Precision,0.967
10,Precision,0.947
11,Precision,0.846
12,Precision,0.909
13,Precision,0.931
14,Precision,0.896
15,Precision,0.957
16,Precision,0.865
17,Precision,0.898
18,Precision,0.833
19,Precision,0.955
20,Precision,0.855
21,Precision,0.922
22,Precision,0.968
23,Precision,0.922
24,Precision,0.971
25,Precision,0.945
26,Precision,0.909
27,Precision,0.906
28,Precision,0.924
29,Precision,0.936
30,Precision,0.94
31,Precision,0.982
32,Precision,0.959
33,Precision,0.95
34,Precision,0.956
35,Precision,0.947
36,Precision,0.942
37,Precision,0.94
38,Precision,0.918
39,Precision,0.933
40,Precision,0.947
41,Precision,0.92
42,Precision,0.896
43,Precision,0.931
44,Precision,0.94
45,Precision,0.952
46,Precision,0.94
47,Precision,0.891
48,Precision,0.931
49,Precision,0.962
50,Precision,0.961
51,Precision,0.972
52,Precision,0.964
53,Precision,0.957
54,Precision,0.931
55,Precision,0.964
56,Precision,0.926
57,Precision,0.974
58,Precision,0.954
59,Precision,0.976
60,Precision,0.924
61,Precision,0.974
62,Precision,0.94
63,Precision,0.954
64,Precision,0.964
65,Precision,0.952
66,Precision,0.911
67,Precision,0.954
68,Precision,0.961
69,Precision,0.949
70,Precision,0.966
71,Precision,0.964
72,Precision,0.952
73,Precision,0.942
74,Precision,0.961
75,Precision,0.974
76,Precision,0.957
77,Precision,0.987
78,Precision,0.969
79,Precision,0.964
80,Precision,0.969
81,Precision,0.971
82,Precision,0.952
83,Precision,0.966
84,Precision,0.969
85,Precision,0.959
86,Precision,0.961
87,Precision,0.963
88,Precision,0.938
89,Precision,0.966
90,Precision,0.979
91,Precision,0.959
92,Precision,0.972
93,Precision,0.971
94,Precision,0.959
95,Precision,0.974
96,Precision,0.942
97,Precision,0.976
98,Precision,0.959
99,Precision,0.954
100,Precision,0.973
1,F1,0.834
2,F1,0.856
3,F1,0.886
4,F1,0.93
5,F1,0.942
6,F1,0.919
7,F1,0.938
8,F1,0.953
9,F1,0.937
10,F1,0.962
11,F1,0.915
12,F1,0.948
13,F1,0.957
14,F1,0.944
15,F1,0.963
16,F1,0.925
17,F1,0.944
18,F1,0.907
19,F1,0.969
20,F1,0.921
21,F1,0.957
22,F1,0.967
23,F1,0.957
24,F1,0.967
25,F1,0.967
26,F1,0.951
27,F1,0.947
28,F1,0.958
29,F1,0.964
30,F1,0.964
31,F1,0.979
32,F1,0.97
33,F1,0.97
34,F1,0.967
35,F1,0.965
36,F1,0.967
37,F1,0.965
38,F1,0.956
39,F1,0.962
40,F1,0.969
41,F1,0.956
42,F1,0.944
43,F1,0.962
44,F1,0.964
45,F1,0.972
46,F1,0.967
47,F1,0.941
48,F1,0.963
49,F1,0.974
50,F1,0.97
51,F1,0.971
52,F1,0.975
53,F1,0.974
54,F1,0.962
55,F1,0.974
56,F1,0.961
57,F1,0.972
58,F1,0.967
59,F1,0.978
60,F1,0.959
61,F1,0.976
62,F1,0.965
63,F1,0.97
64,F1,0.973
65,F1,0.972
66,F1,0.952
67,F1,0.973
68,F1,0.971
69,F1,0.969
70,F1,0.975
71,F1,0.974
72,F1,0.972
73,F1,0.968
74,F1,0.973
75,F1,0.972
76,F1,0.974
77,F1,0.975
78,F1,0.974
79,F1,0.974
80,F1,0.974
81,F1,0.974
82,F1,0.973
83,F1,0.968
84,F1,0.972
85,F1,0.971
86,F1,0.97
87,F1,0.968
88,F1,0.964
89,F1,0.974
90,F1,0.979
91,F1,0.969
92,F1,0.979
93,F1,0.974
94,F1,0.973
95,F1,0.975
96,F1,0.968
97,F1,0.976
98,F1,0.973
99,F1,0.973
100,F1,0.971
1,Recall,0.955
2,Recall,0.974
3,Recall,0.984
4,Recall,0.979
5,Recall,0.981
6,Recall,0.995
7,Recall,0.981
8,Recall,0.979
9,Recall,0.91
10,Recall,0.979
11,Recall,0.997
12,Recall,0.992
13,Recall,0.984
14,Recall,0.997
15,Recall,0.971
16,Recall,0.995
17,Recall,0.995
18,Recall,0.997
19,Recall,0.984
20,Recall,0.997
21,Recall,0.995
22,Recall,0.966
23,Recall,0.995
24,Recall,0.963
25,Recall,0.989
26,Recall,0.997
27,Recall,0.992
28,Recall,0.995
29,Recall,0.995
30,Recall,0.989
31,Recall,0.976
32,Recall,0.981
33,Recall,0.992
34,Recall,0.979
35,Recall,0.984
36,Recall,0.992
37,Recall,0.992
38,Recall,0.997
39,Recall,0.992
40,Recall,0.992
41,Recall,0.995
42,Recall,0.997
43,Recall,0.995
44,Recall,0.989
45,Recall,0.992
46,Recall,0.995
47,Recall,0.997
48,Recall,0.997
49,Recall,0.987
50,Recall,0.979
51,Recall,0.971
52,Recall,0.987
53,Recall,0.992
54,Recall,0.995
55,Recall,0.984
56,Recall,0.997
57,Recall,0.971
58,Recall,0.981
59,Recall,0.979
60,Recall,0.997
61,Recall,0.979
62,Recall,0.992
63,Recall,0.987
64,Recall,0.982
65,Recall,0.992
66,Recall,0.997
67,Recall,0.992
68,Recall,0.982
69,Recall,0.989
70,Recall,0.984
71,Recall,0.984
72,Recall,0.992
73,Recall,0.995
74,Recall,0.984
75,Recall,0.971
76,Recall,0.992
77,Recall,0.963
78,Recall,0.979
79,Recall,0.984
80,Recall,0.979
81,Recall,0.976
82,Recall,0.995
83,Recall,0.971
84,Recall,0.976
85,Recall,0.984
86,Recall,0.979
87,Recall,0.974
88,Recall,0.992
89,Recall,0.981
90,Recall,0.979
91,Recall,0.979
92,Recall,0.987
93,Recall,0.976
94,Recall,0.987
95,Recall,0.976
96,Recall,0.995
97,Recall,0.976
98,Recall,0.987
99,Recall,0.992
100,Recall,0.968
