Round,Metric,Value
0,F1,0.6308
1,F1,0.9596
2,F1,0.9907
3,F1,0.9953
4,F1,0.9859
5,F1,0.9811
6,F1,0.986
7,F1,0.9907
8,F1,0.9859
9,F1,0.9953
10,F1,0.9953
11,F1,0.9859
12,F1,0.9862
13,F1,0.986
14,F1,0.986
15,F1,0.9813
16,F1,0.9862
17,F1,0.986
18,F1,0.9767
19,F1,0.9859
20,F1,0.9813
21,F1,0.986
22,F1,0.986
23,F1,0.9907
24,F1,0.9813
25,F1,0.986
26,F1,0.9859
27,F1,0.9907
28,F1,0.9859
29,F1,0.986
30,F1,0.9907
31,F1,0.9859
32,F1,0.986
33,F1,0.9907
34,F1,0.9813
35,F1,0.9907
36,F1,0.9811
37,F1,0.986
38,F1,0.986
39,F1,0.9907
40,F1,0.9953
41,F1,0.9953
42,F1,0.9907
43,F1,0.9907
44,F1,0.9907
45,F1,0.9907
46,F1,0.9907
47,F1,0.986
48,F1,0.986
49,F1,0.9907
50,F1,0.986
51,F1,0.986
52,F1,0.986
53,F1,0.986
54,F1,0.986
55,F1,0.986
56,F1,0.986
57,F1,0.986
58,F1,0.986
59,F1,0.9907
60,F1,0.986
61,F1,0.986
62,F1,0.986
63,F1,0.986
64,F1,0.986
65,F1,0.986
66,F1,0.9813
67,F1,0.9907
68,F1,0.9907
69,F1,0.9907
70,F1,0.9907
71,F1,0.9907
72,F1,0.9907
73,F1,0.9907
74,F1,0.9907
75,F1,0.9907
76,F1,0.986
77,F1,0.9907
78,F1,0.986
79,F1,0.9907
80,F1,0.986
81,F1,0.9907
82,F1,0.9907
83,F1,0.9907
84,F1,0.9907
85,F1,0.9907
86,F1,0.986
87,F1,0.9907
88,F1,0.986
89,F1,0.986
90,F1,0.986
91,F1,0.986
92,F1,0.986
93,F1,0.986
94,F1,0.986
95,F1,0.986
96,F1,0.986
97,F1,0.986
98,F1,0.986
99,F1,0.986
100,F1,0.9717
0,Precision,0.5395
1,Precision,0.9304
2,Precision,1.0
3,Precision,1.0
4,Precision,1.0
5,Precision,1.0
6,Precision,0.9907
7,Precision,1.0
8,Precision,1.0
9,Precision,1.0
10,Precision,1.0
11,Precision,1.0
12,Precision,0.9817
13,Precision,0.9907
14,Precision,0.9907
15,Precision,0.9906
16,Precision,0.9817
17,Precision,0.9907
18,Precision,0.9813
19,Precision,1.0
20,Precision,0.9906
21,Precision,0.9907
22,Precision,0.9907
23,Precision,1.0
24,Precision,0.9906
25,Precision,0.9907
26,Precision,1.0
27,Precision,1.0
28,Precision,1.0
29,Precision,0.9907
30,Precision,0.9907
31,Precision,1.0
32,Precision,0.9907
33,Precision,0.9907
34,Precision,0.9906
35,Precision,0.9907
36,Precision,1.0
37,Precision,0.9907
38,Precision,0.9907
39,Precision,0.9907
40,Precision,1.0
41,Precision,1.0
42,Precision,1.0
43,Precision,0.9907
44,Precision,0.9907
45,Precision,0.9907
46,Precision,0.9907
47,Precision,0.9907
48,Precision,0.9907
49,Precision,0.9907
50,Precision,0.9907
51,Precision,0.9907
52,Precision,0.9907
53,Precision,0.9907
54,Precision,0.9907
55,Precision,0.9907
56,Precision,0.9907
57,Precision,0.9907
58,Precision,0.9907
59,Precision,0.9907
60,Precision,0.9907
61,Precision,0.9907
62,Precision,0.9907
63,Precision,0.9907
64,Precision,0.9907
65,Precision,0.9907
66,Precision,0.9906
67,Precision,0.9907
68,Precision,0.9907
69,Precision,0.9907
70,Precision,0.9907
71,Precision,0.9907
72,Precision,0.9907
73,Precision,0.9907
74,Precision,0.9907
75,Precision,0.9907
76,Precision,0.9907
77,Precision,0.9907
78,Precision,0.9907
79,Precision,0.9907
80,Precision,0.9907
81,Precision,0.9907
82,Precision,0.9907
83,Precision,0.9907
84,Precision,0.9907
85,Precision,0.9907
86,Precision,0.9907
87,Precision,0.9907
88,Precision,0.9907
89,Precision,0.9907
90,Precision,0.9907
91,Precision,0.9907
92,Precision,0.9907
93,Precision,0.9907
94,Precision,0.9907
95,Precision,0.9907
96,Precision,0.9907
97,Precision,0.9907
98,Precision,0.9907
99,Precision,0.9907
100,Precision,0.9904
0,Recall,0.7593
1,Recall,0.9907
2,Recall,0.9815
3,Recall,0.9907
4,Recall,0.9722
5,Recall,0.963
6,Recall,0.9815
7,Recall,0.9815
8,Recall,0.9722
9,Recall,0.9907
10,Recall,0.9907
11,Recall,0.9722
12,Recall,0.9907
13,Recall,0.9815
14,Recall,0.9815
15,Recall,0.9722
16,Recall,0.9907
17,Recall,0.9815
18,Recall,0.9722
19,Recall,0.9722
20,Recall,0.9722
21,Recall,0.9815
22,Recall,0.9815
23,Recall,0.9815
24,Recall,0.9722
25,Recall,0.9815
26,Recall,0.9722
27,Recall,0.9815
28,Recall,0.9722
29,Recall,0.9815
30,Recall,0.9907
31,Recall,0.9722
32,Recall,0.9815
33,Recall,0.9907
34,Recall,0.9722
35,Recall,0.9907
36,Recall,0.963
37,Recall,0.9815
38,Recall,0.9815
39,Recall,0.9907
40,Recall,0.9907
41,Recall,0.9907
42,Recall,0.9815
43,Recall,0.9907
44,Recall,0.9907
45,Recall,0.9907
46,Recall,0.9907
47,Recall,0.9815
48,Recall,0.9815
49,Recall,0.9907
50,Recall,0.9815
51,Recall,0.9815
52,Recall,0.9815
53,Recall,0.9815
54,Recall,0.9815
55,Recall,0.9815
56,Recall,0.9815
57,Recall,0.9815
58,Recall,0.9815
59,Recall,0.9907
60,Recall,0.9815
61,Recall,0.9815
62,Recall,0.9815
63,Recall,0.9815
64,Recall,0.9815
65,Recall,0.9815
66,Recall,0.9722
67,Recall,0.9907
68,Recall,0.9907
69,Recall,0.9907
70,Recall,0.9907
71,Recall,0.9907
72,Recall,0.9907
73,Recall,0.9907
74,Recall,0.9907
75,Recall,0.9907
76,Recall,0.9815
77,Recall,0.9907
78,Recall,0.9815
79,Recall,0.9907
80,Recall,0.9815
81,Recall,0.9907
82,Recall,0.9907
83,Recall,0.9907
84,Recall,0.9907
85,Recall,0.9907
86,Recall,0.9815
87,Recall,0.9907
88,Recall,0.9815
89,Recall,0.9815
90,Recall,0.9815
91,Recall,0.9815
92,Recall,0.9815
93,Recall,0.9815
94,Recall,0.9815
95,Recall,0.9815
96,Recall,0.9815
97,Recall,0.9815
98,Recall,0.9815
99,Recall,0.9815
100,Recall,0.9537
