Round,Metric,Value
1,Precision,0.995
2,Precision,0.997
3,Precision,0.995
4,Precision,0.997
5,Precision,0.997
6,Precision,0.997
7,Precision,0.997
8,Precision,0.997
9,Precision,0.997
10,Precision,0.997
11,Precision,0.997
12,Precision,0.992
13,Precision,0.997
14,Precision,0.997
15,Precision,0.995
16,Precision,0.997
17,Precision,0.997
18,Precision,0.99
19,Precision,1.0
20,Precision,0.997
21,Precision,0.995
22,Precision,0.997
23,Precision,0.997
24,Precision,0.997
25,Precision,0.997
26,Precision,0.997
27,Precision,0.995
28,Precision,0.997
29,Precision,0.997
30,Precision,0.997
31,Precision,0.997
32,Precision,0.992
33,Precision,0.995
34,Precision,0.995
35,Precision,0.995
36,Precision,0.997
37,Precision,0.997
38,Precision,0.995
39,Precision,0.997
40,Precision,0.997
41,Precision,0.997
42,Precision,0.997
43,Precision,0.997
44,Precision,0.997
45,Precision,0.997
46,Precision,0.997
47,Precision,0.997
48,Precision,0.997
49,Precision,0.997
50,Precision,0.997
51,Precision,0.997
52,Precision,0.995
53,Precision,0.997
54,Precision,0.992
55,Precision,0.997
56,Precision,0.997
57,Precision,0.997
58,Precision,0.997
59,Precision,0.997
60,Precision,0.997
61,Precision,0.997
62,Precision,0.997
63,Precision,0.997
64,Precision,0.997
65,Precision,0.997
66,Precision,0.997
67,Precision,0.997
68,Precision,0.997
69,Precision,0.997
70,Precision,0.997
71,Precision,0.997
72,Precision,0.997
73,Precision,0.997
74,Precision,0.997
75,Precision,0.997
76,Precision,0.992
77,Precision,0.995
78,Precision,0.995
79,Precision,0.997
80,Precision,0.997
81,Precision,0.997
82,Precision,0.997
83,Precision,0.997
84,Precision,0.997
85,Precision,0.995
86,Precision,0.997
87,Precision,0.997
88,Precision,0.997
89,Precision,0.997
90,Precision,0.997
91,Precision,0.997
92,Precision,0.997
93,Precision,0.997
94,Precision,0.997
95,Precision,0.997
96,Precision,0.997
97,Precision,0.997
98,Precision,0.997
99,Precision,0.997
100,Precision,0.997
1,F1,0.991
2,F1,0.988
3,F1,0.995
4,F1,0.992
5,F1,0.995
6,F1,0.997
7,F1,0.996
8,F1,0.999
9,F1,0.999
10,F1,0.996
11,F1,0.999
12,F1,0.995
13,F1,0.997
14,F1,0.995
15,F1,0.997
16,F1,0.997
17,F1,0.997
18,F1,0.995
19,F1,0.993
20,F1,0.997
21,F1,0.997
22,F1,0.993
23,F1,0.996
24,F1,0.999
25,F1,0.999
26,F1,0.996
27,F1,0.997
28,F1,0.995
29,F1,0.997
30,F1,0.993
31,F1,0.999
32,F1,0.996
33,F1,0.996
34,F1,0.996
35,F1,0.996
36,F1,0.999
37,F1,0.997
38,F1,0.997
39,F1,0.999
40,F1,0.997
