Round,Metric,Value
0,F1,0.0
1,F1,0.9533
2,F1,0.9636
3,F1,0.972
4,F1,0.977
5,F1,0.9907
6,F1,0.9907
7,F1,0.9907
8,F1,0.9813
9,F1,0.9811
10,F1,0.9953
11,F1,0.9859
12,F1,0.9907
13,F1,0.9859
14,F1,0.9859
15,F1,0.9859
16,F1,0.9859
17,F1,0.9907
18,F1,0.9813
19,F1,0.9859
20,F1,0.9859
21,F1,0.9859
22,F1,0.9811
23,F1,0.9859
24,F1,0.9907
25,F1,0.9907
26,F1,0.9953
27,F1,0.9859
28,F1,0.9907
29,F1,0.986
30,F1,0.9907
31,F1,0.9953
32,F1,0.9907
33,F1,0.9953
34,F1,0.9953
35,F1,0.9907
36,F1,0.9859
37,F1,0.9859
38,F1,0.9813
39,F1,0.9859
40,F1,0.9813
41,F1,0.9859
42,F1,0.9907
43,F1,0.9859
44,F1,0.9813
45,F1,0.9763
46,F1,0.9765
47,F1,0.9859
48,F1,0.9668
49,F1,0.9907
50,F1,0.9763
51,F1,0.9763
52,F1,0.9859
53,F1,0.9765
54,F1,0.986
55,F1,0.977
56,F1,0.936
57,F1,0.986
58,F1,0.9763
59,F1,0.9907
60,F1,0.9765
61,F1,0.9813
62,F1,0.9907
63,F1,0.9519
64,F1,0.9765
65,F1,0.9815
66,F1,0.9765
67,F1,0.9815
68,F1,0.9314
69,F1,0.9463
70,F1,0.9815
71,F1,0.9765
72,F1,0.9813
73,F1,0.866
74,F1,0.9469
75,F1,0.9765
76,F1,0.9767
77,F1,0.9714
78,F1,0.9907
79,F1,0.9859
80,F1,0.9386
81,F1,0.9859
82,F1,0.9763
83,F1,0.9862
84,F1,0.9815
85,F1,0.9763
86,F1,0.9763
87,F1,0.9811
88,F1,0.9811
89,F1,0.9811
90,F1,0.9859
91,F1,0.9811
92,F1,0.9811
93,F1,0.9813
94,F1,0.9811
95,F1,0.9722
96,F1,0.9907
97,F1,0.9674
98,F1,0.9811
99,F1,0.986
100,F1,0.9907
