Round,Metric,Value
1,Precision,0.997
2,Precision,0.995
3,Precision,0.995
4,Precision,0.995
5,Precision,0.992
6,Precision,0.995
7,Precision,0.997
8,Precision,0.997
9,Precision,0.997
10,Precision,0.995
11,Precision,0.997
12,Precision,0.997
13,Precision,0.997
14,Precision,0.995
15,Precision,0.997
16,Precision,0.995
17,Precision,0.995
18,Precision,0.995
19,Precision,0.997
20,Precision,0.997
21,Precision,0.995
22,Precision,0.997
23,Precision,0.997
24,Precision,0.997
25,Precision,0.997
26,Precision,0.995
27,Precision,0.997
28,Precision,0.995
29,Precision,0.992
30,Precision,0.997
31,Precision,0.997
32,Precision,0.997
33,Precision,0.997
34,Precision,0.997
35,Precision,0.997
36,Precision,0.997
37,Precision,0.995
38,Precision,0.995
39,Precision,0.997
40,Precision,0.997
41,Precision,0.995
42,Precision,0.997
43,Precision,0.997
44,Precision,1.0
45,Precision,1.0
46,Precision,1.0
47,Precision,1.0
48,Precision,0.997
49,Precision,0.987
50,Precision,0.997
51,Precision,0.995
52,Precision,0.997
53,Precision,0.992
54,Precision,0.995
55,Precision,0.992
56,Precision,0.997
57,Precision,0.992
58,Precision,0.997
59,Precision,0.997
60,Precision,0.997
61,Precision,0.997
62,Precision,0.997
63,Precision,0.997
64,Precision,0.995
65,Precision,0.995
66,Precision,0.997
67,Precision,0.992
68,Precision,0.997
69,Precision,0.995
70,Precision,0.995
71,Precision,0.997
72,Precision,0.995
73,Precision,0.994
74,Precision,0.997
75,Precision,0.997
76,Precision,0.987
77,Precision,0.997
78,Precision,0.995
79,Precision,0.997
80,Precision,0.977
81,Precision,0.995
82,Precision,0.997
83,Precision,0.997
84,Precision,0.997
85,Precision,0.997
86,Precision,0.997
87,Precision,0.997
88,Precision,0.997
89,Precision,0.997
90,Precision,0.997
91,Precision,0.997
92,Precision,0.997
93,Precision,0.995
94,Precision,0.997
95,Precision,0.99
96,Precision,0.995
97,Precision,0.984
98,Precision,1.0
99,Precision,0.997
100,Precision,0.992
1,F1,0.983
2,F1,0.988
3,F1,0.992
4,F1,0.995
5,F1,0.996
6,F1,0.997
7,F1,0.996
8,F1,0.991
9,F1,0.996
10,F1,0.995
11,F1,0.991
12,F1,0.999
13,F1,0.993
14,F1,0.995
15,F1,0.992
16,F1,0.996
17,F1,0.997
18,F1,0.997
19,F1,0.993
20,F1,0.997
21,F1,0.993
22,F1,0.991
23,F1,0.993
24,F1,0.999
25,F1,0.997
26,F1,0.996
27,F1,0.996
28,F1,0.997
29,F1,0.996
30,F1,0.997
31,F1,0.999
32,F1,0.993
33,F1,0.999
34,F1,0.999
35,F1,0.995
36,F1,0.996
37,F1,0.992
38,F1,0.995
39,F1,0.993
40,F1,0.997
41,F1,0.995
42,F1,0.996
43,F1,0.992
44,F1,0.997
45,F1,0.98
46,F1,0.992
47,F1,0.991
48,F1,0.995
49,F1,0.987
50,F1,0.992
51,F1,0.993
52,F1,0.997
53,F1,0.993
54,F1,0.995
55,F1,0.983
56,F1,0.938
57,F1,0.996
58,F1,0.991
59,F1,0.996
60,F1,0.996
61,F1,0.995
62,F1,0.995
63,F1,0.963
64,F1,0.991
65,F1,0.992
66,F1,0.991
67,F1,0.995
68,F1,0.966
69,F1,0.987
70,F1,0.997
71,F1,0.991
72,F1,0.996
73,F1,0.914
74,F1,0.956
75,F1,0.992
76,F1,0.988
77,F1,0.976
78,F1,0.996
79,F1,0.992
80,F1,0.988
81,F1,0.992
82,F1,0.995
83,F1,0.999
84,F1,0.995
85,F1,0.992
86,F1,0.991
87,F1,0.995
88,F1,0.997
89,F1,0.997
90,F1,0.999
91,F1,0.997
92,F1,0.997
93,F1,0.993
94,F1,0.999
95,F1,0.991
96,F1,0.997
97,F1,0.992
98,F1,0.991
99,F1,0.995
100,F1,0.995
1,Recall,0.968
2,Recall,0.982
3,Recall,0.989
4,Recall,0.995
5,Recall,1.0
6,Recall,1.0
7,Recall,0.995
8,Recall,0.984
9,Recall,0.995
10,Recall,0.995
11,Recall,0.984
12,Recall,1.0
13,Recall,0.989
14,Recall,0.995
15,Recall,0.987
16,Recall,0.997
17,Recall,1.0
18,Recall,1.0
19,Recall,0.989
20,Recall,0.997
21,Recall,0.992
22,Recall,0.984
23,Recall,0.989
24,Recall,1.0
25,Recall,0.997
26,Recall,0.997
27,Recall,0.995
28,Recall,1.0
29,Recall,1.0
30,Recall,0.997
