Round,Metric,Value
0,F1,0.6667
1,F1,0.9643
2,F1,0.9811
3,F1,0.9907
4,F1,0.9907
5,F1,0.9953
6,F1,0.9907
7,F1,0.9811
8,F1,0.9953
9,F1,0.9811
10,F1,0.9953
11,F1,0.9953
12,F1,0.9859
13,F1,1.0
14,F1,0.986
15,F1,0.9907
16,F1,0.9953
17,F1,0.9859
18,F1,0.9953
19,F1,0.9907
20,F1,0.9907
21,F1,0.9907
22,F1,0.9907
23,F1,0.9953
24,F1,1.0
25,F1,0.9811
26,F1,0.9907
27,F1,0.9907
28,F1,0.9811
29,F1,0.9907
30,F1,0.9811
31,F1,0.9953
32,F1,0.9862
33,F1,0.986
34,F1,0.9859
35,F1,0.9763
36,F1,0.9774
37,F1,0.9907
38,F1,0.9907
39,F1,0.9907
40,F1,0.9815
41,F1,0.9907
42,F1,0.9907
43,F1,0.9859
44,F1,0.9907
45,F1,0.9953
46,F1,0.9953
47,F1,0.9907
48,F1,0.9907
49,F1,0.9907
50,F1,0.9907
51,F1,0.9953
52,F1,0.9953
53,F1,0.9953
54,F1,0.9953
55,F1,0.9953
56,F1,0.9953
57,F1,0.9953
58,F1,0.9953
59,F1,0.9953
60,F1,0.9907
61,F1,0.9953
62,F1,0.9907
63,F1,0.9907
64,F1,0.9907
65,F1,0.9907
66,F1,0.9953
67,F1,0.9907
68,F1,0.9953
69,F1,0.9953
70,F1,0.9953
71,F1,0.9953
72,F1,0.9953
73,F1,0.9953
74,F1,0.9953
75,F1,0.9907
76,F1,0.9907
77,F1,0.9907
78,F1,0.9907
79,F1,0.9907
80,F1,0.9907
81,F1,0.9907
82,F1,0.9907
83,F1,0.9907
84,F1,0.9907
85,F1,0.9907
86,F1,0.9907
87,F1,0.9907
88,F1,0.9953
89,F1,0.9907
90,F1,0.9907
91,F1,0.9907
92,F1,0.9907
93,F1,0.9907
94,F1,0.9907
95,F1,0.9907
96,F1,0.9907
97,F1,0.9907
98,F1,0.9907
99,F1,0.9907
100,F1,0.9907
0,Precision,0.5
1,Precision,0.931
2,Precision,1.0
3,Precision,1.0
4,Precision,0.9907
5,Precision,1.0
6,Precision,1.0
7,Precision,1.0
8,Precision,1.0
9,Precision,1.0
10,Precision,1.0
11,Precision,1.0
12,Precision,1.0
13,Precision,1.0
14,Precision,0.9907
15,Precision,0.9907
16,Precision,1.0
17,Precision,1.0
18,Precision,1.0
19,Precision,0.9907
20,Precision,0.9907
21,Precision,0.9907
22,Precision,0.9907
23,Precision,1.0
24,Precision,1.0
25,Precision,1.0
26,Precision,1.0
27,Precision,0.9907
28,Precision,1.0
29,Precision,1.0
30,Precision,1.0
31,Precision,1.0
32,Precision,0.9817
33,Precision,0.9907
34,Precision,1.0
35,Precision,1.0
36,Precision,0.9558
37,Precision,1.0
38,Precision,1.0
39,Precision,1.0
40,Precision,0.9815
41,Precision,1.0
42,Precision,1.0
43,Precision,1.0
44,Precision,1.0
45,Precision,1.0
46,Precision,1.0
47,Precision,1.0
48,Precision,1.0
49,Precision,1.0
50,Precision,1.0
51,Precision,1.0
52,Precision,1.0
53,Precision,1.0
54,Precision,1.0
55,Precision,1.0
56,Precision,1.0
57,Precision,1.0
58,Precision,1.0
59,Precision,1.0
60,Precision,0.9907
61,Precision,1.0
62,Precision,0.9907
63,Precision,0.9907
64,Precision,0.9907
65,Precision,0.9907
66,Precision,1.0
67,Precision,0.9907
68,Precision,1.0
69,Precision,1.0
70,Precision,1.0
71,Precision,1.0
72,Precision,1.0
73,Precision,1.0
74,Precision,1.0
75,Precision,0.9907
76,Precision,0.9907
77,Precision,0.9907
78,Precision,0.9907
79,Precision,0.9907
80,Precision,0.9907
81,Precision,0.9907
82,Precision,0.9907
83,Precision,0.9907
84,Precision,0.9907
85,Precision,0.9907
86,Precision,0.9907
87,Precision,0.9907
88,Precision,1.0
89,Precision,0.9907
90,Precision,0.9907
91,Precision,0.9907
92,Precision,0.9907
93,Precision,0.9907
94,Precision,0.9907
95,Precision,0.9907
96,Precision,0.9907
97,Precision,0.9907
98,Precision,0.9907
99,Precision,0.9907
100,Precision,0.9907
0,Recall,1.0
1,Recall,1.0
2,Recall,0.963
3,Recall,0.9815
4,Recall,0.9907
5,Recall,0.9907
6,Recall,0.9815
7,Recall,0.963
8,Recall,0.9907
9,Recall,0.963
10,Recall,0.9907
11,Recall,0.9907
12,Recall,0.9722
13,Recall,1.0
14,Recall,0.9815
15,Recall,0.9907
16,Recall,0.9907
17,Recall,0.9722
18,Recall,0.9907
19,Recall,0.9907
20,Recall,0.9907
21,Recall,0.9907
22,Recall,0.9907
23,Recall,0.9907
24,Recall,1.0
25,Recall,0.963
26,Recall,0.9815
27,Recall,0.9907
28,Recall,0.963
29,Recall,0.9815
30,Recall,0.963
31,Recall,0.9907
32,Recall,0.9907
33,Recall,0.9815
34,Recall,0.9722
35,Recall,0.9537
36,Recall,1.0
37,Recall,0.9815
38,Recall,0.9815
39,Recall,0.9815
40,Recall,0.9815
41,Recall,0.9815
42,Recall,0.9815
43,Recall,0.9722
44,Recall,0.9815
45,Recall,0.9907
46,Recall,0.9907
47,Recall,0.9815
48,Recall,0.9815
49,Recall,0.9815
50,Recall,0.9815
51,Recall,0.9907
52,Recall,0.9907
53,Recall,0.9907
54,Recall,0.9907
55,Recall,0.9907
56,Recall,0.9907
57,Recall,0.9907
58,Recall,0.9907
59,Recall,0.9907
60,Recall,0.9907
61,Recall,0.9907
62,Recall,0.9907
63,Recall,0.9907
64,Recall,0.9907
