Round,Metric,Value
1,Precision,0.982
2,Precision,1.0
3,Precision,1.0
4,Precision,0.992
5,Precision,0.997
6,Precision,0.995
7,Precision,1.0
8,Precision,0.997
9,Precision,0.997
10,Precision,0.995
11,Precision,0.997
12,Precision,1.0
13,Precision,0.992
14,Precision,0.992
15,Precision,0.992
16,Precision,0.997
17,Precision,1.0
18,Precision,0.997
19,Precision,0.997
20,Precision,0.992
21,Precision,0.997
22,Precision,0.995
23,Precision,0.997
24,Precision,0.997
25,Precision,1.0
26,Precision,0.997
27,Precision,0.992
28,Precision,1.0
29,Precision,0.997
30,Precision,1.0
31,Precision,0.997
32,Precision,0.984
33,Precision,0.995
34,Precision,0.995
35,Precision,1.0
36,Precision,0.987
37,Precision,0.995
38,Precision,0.997
39,Precision,0.997
40,Precision,0.995
41,Precision,0.995
42,Precision,0.995
43,Precision,0.995
44,Precision,0.995
45,Precision,0.995
46,Precision,0.995
47,Precision,0.997
48,Precision,0.997
49,Precision,0.995
50,Precision,0.997
51,Precision,0.997
52,Precision,0.997
53,Precision,0.997
54,Precision,0.997
55,Precision,0.997
56,Precision,0.997
57,Precision,0.995
58,Precision,0.997
59,Precision,0.995
60,Precision,0.995
61,Precision,0.995
62,Precision,0.995
63,Precision,0.995
64,Precision,0.995
65,Precision,0.995
66,Precision,0.995
67,Precision,0.995
68,Precision,0.995
69,Precision,0.995
70,Precision,0.995
71,Precision,0.997
72,Precision,0.997
73,Precision,0.995
74,Precision,0.997
75,Precision,0.995
76,Precision,0.995
77,Precision,0.995
78,Precision,0.995
79,Precision,0.995
80,Precision,0.995
81,Precision,0.995
82,Precision,0.995
83,Precision,0.995
84,Precision,0.995
85,Precision,0.997
86,Precision,0.997
87,Precision,0.995
88,Precision,0.997
89,Precision,0.997
90,Precision,0.995
91,Precision,0.995
92,Precision,0.995
93,Precision,0.995
94,Precision,0.997
95,Precision,0.997
96,Precision,0.997
97,Precision,0.997
98,Precision,0.997
99,Precision,0.997
100,Precision,0.997
1,F1,0.991
2,F1,0.991
3,F1,0.992
4,F1,0.995
5,F1,0.997
6,F1,0.996
7,F1,0.993
8,F1,0.995
9,F1,0.984
10,F1,0.996
11,F1,0.999
12,F1,0.995
13,F1,0.996
14,F1,0.995
15,F1,0.993
16,F1,0.999
17,F1,0.997
18,F1,0.995
19,F1,0.999
20,F1,0.996
21,F1,0.997
22,F1,0.997
23,F1,0.997
24,F1,0.999
25,F1,0.987
26,F1,0.992
27,F1,0.993
28,F1,0.985
29,F1,0.993
30,F1,0.987
31,F1,0.995
32,F1,0.992
33,F1,0.997
34,F1,0.996
35,F1,0.995
36,F1,0.993
37,F1,0.996
38,F1,0.999
39,F1,0.997
40,F1,0.996
41,F1,0.996
42,F1,0.996
43,F1,0.997
44,F1,0.997
45,F1,0.997
46,F1,0.997
47,F1,0.999
48,F1,0.999
49,F1,0.997
50,F1,0.999
51,F1,0.999
52,F1,0.999
53,F1,0.999
54,F1,0.999
55,F1,0.999
56,F1,0.999
57,F1,0.997
58,F1,0.999
59,F1,0.997
60,F1,0.997
61,F1,0.997
62,F1,0.997
63,F1,0.997
64,F1,0.997
65,F1,0.997
66,F1,0.997
67,F1,0.997
68,F1,0.997
69,F1,0.997
70,F1,0.997
71,F1,0.999
72,F1,0.999
73,F1,0.997
74,F1,0.999
75,F1,0.997
76,F1,0.997
77,F1,0.997
78,F1,0.997
79,F1,0.997
80,F1,0.997
81,F1,0.997
82,F1,0.997
83,F1,0.997
84,F1,0.997
85,F1,0.999
86,F1,0.999
87,F1,0.997
88,F1,0.999
89,F1,0.999
90,F1,0.997
91,F1,0.997
92,F1,0.997
93,F1,0.997
94,F1,0.999
95,F1,0.999
96,F1,0.997
97,F1,0.999
98,F1,0.999
99,F1,0.999
100,F1,0.999
1,Recall,1.0
2,Recall,0.981
3,Recall,0.984
4,Recall,0.997
5,Recall,0.997
6,Recall,0.997
7,Recall,0.987
8,Recall,0.992
9,Recall,0.971
10,Recall,0.997
11,Recall,1.0
12,Recall,0.989
13,Recall,1.0
14,Recall,0.997
15,Recall,0.995
16,Recall,1.0
17,Recall,0.995
18,Recall,0.992
19,Recall,1.0
20,Recall,1.0
21,Recall,0.997
22,Recall,1.0
23,Recall,0.997
24,Recall,1.0
25,Recall,0.974
26,Recall,0.987
27,Recall,0.995
28,Recall,0.971
29,Recall,0.989
30,Recall,0.974
31,Recall,0.992
32,Recall,1.0
33,Recall,1.0
34,Recall,0.997
35,Recall,0.989
36,Recall,1.0
37,Recall,0.997
38,Recall,1.0
39,Recall,0.997
40,Recall,0.997
41,Recall,0.997
42,Recall,0.997
43,Recall,1.0
44,Recall,1.0
45,Recall,1.0
46,Recall,1.0
47,Recall,1.0
48,Recall,1.0
49,Recall,1.0
50,Recall,1.0
51,Recall,1.0
52,Recall,1.0
53,Recall,1.0
54,Recall,1.0
55,Recall,1.0
56,Recall,1.0
57,Recall,1.0
58,Recall,1.0
59,Recall,1.0
60,Recall,1.0
61,Recall,1.0
62,Recall,1.0
63,Recall,1.0
64,Recall,1.0
65,Recall,1.0
66,Recall,1.0
67,Recall,1.0
68,Recall,1.0
69,Recall,1.0
70,Recall,1.0
71,Recall,1.0
72,Recall,1.0
73,Recall,1.0
74,Recall,1.0
75,Recall,1.0
76,Recall,1.0
77,Recall,1.0
78,Recall,1.0
79,Recall,1.0
80,Recall,1.0
81,Recall,1.0
82,Recall,1.0
83,Recall,1.0
84,Recall,1.0
85,Recall,1.0
86,Recall,1.0
87,Recall,1.0
88,Recall,1.0
89,Recall,1.0
90,Recall,1.0
91,Recall,1.0
92,Recall,1.0
93,Recall,1.0
94,Recall,1.0
95,Recall,1.0
96,Recall,0.997
97,Recall,1.0
98,Recall,1.0
99,Recall,1.0
100,Recall,1.0
